LANG_INFO	Japanese
MSG_TOOLTIPS_NEWMEMO	新規メモ
MSG_TOOLTIPS_RETURNLIST	一覧に戻る
MSG_TOOLTIPS_SAVE	保存
MSG_TOOLTIPS_INSDATE1	日付1の挿入
MSG_TOOLTIPS_INSDATE2	日付2の挿入
MSG_MEMO	メモ
MSG_TOOL	ツール
MSG_EDIT	編集
MSG_INITAPPBTN_FAIL	アプリケーションボタンの初期化に失敗しました
MSG_NEW	新規
MSG_UPDATE	更新
MSG_RONLY	閲覧
MSG_DEFAULT_HEADLINE	無題
MSG_SAVE_FAILED	メモの保存に失敗しました(%d)
MSG_GETSIPSTAT_FAILED	SIPの状態取得に失敗しました
MSG_CREATEFOLDER_FAILED	フォルダの作成に失敗しました
MSG_ERASE_PW	記憶していたパスワードを消去しました
MSG_ERASE_PW_TITLE	パスワード消去
MSG_FOLDING_FAILED	折り返し処理の切り替えに失敗しました
MSG_NOT_ENOUGH_MEMORY	メモリの確保に失敗しました
MSG_PASS_NOT_MATCH	パスワードが一致しません
MSG_CANT_GET_PASS	パスワードが取得できませんでした
MSG_TIMER_SET_FAILED	パスワードタイマーが設定できませんでした
MSG_RMDIR_FAILED	ディレクトリ削除に失敗しました
MSG_OTHER_FILE_EXISTS	メモ以外のファイルが存在します
MSG_RMFILE_FAILED	ファイル削除に失敗しました
MSG_MKDIR_FAILED	ディレクトリ作成に失敗しました
MSG_FILECOPY_FAILED	ファイルのコピーに失敗しました
MSG_MEMO_EDITED	メモは編集されています。保存しますか?
MSG_CONFIRM_SAVE	保存の確認
MSG_CANT_OPEN_MEMO	メモは開けませんでした
MSG_PASS_NOT_MATCH2	入力されたパスワードが登録されたそれと一致しません。続行しますか?
MSG_PASS_NOT_MATCH3	入力されたパスワードが登録されたそれと一致しません。
MSG_PASS_MISMATCH_TTL	パスワード不一致
MSG_IS_CREATE_DIR	ディレクトリが存在しません。作成しますか?
MSG_CREATE_DIR_TTL	メモディレクトリの作成
MSG_CHOOSE_FOLDER	フォルダの選択
MSG_REG_PASSWD	パスワードを登録します。変更は即座に反映されます。よろしいですか?
MSG_REG_PASSWD_TTL	パスワードの変更
MSG_PLEASE_SET_PASS	パスワードを設定してください
MSG_GET_PASS_FAILED	パスワードの取得に失敗しました
MSG_GET_FP_FAILED	フィンガープリントの取得に失敗しました
MSG_PW_REGED	パスワードが登録されました
MSG_PW_REG_FAILED	パスワードの登録に失敗しました
MSG_SAVE_DATA_FAILED	データの保存に失敗しました
MSG_ENCRYPTION_FAILED	暗号化に失敗しました(%d)
MSG_DECRYPTION_FAILED	復号化に失敗しました(%d)
MSG_MOVE_MEMO_FAILED	移動に失敗しました
MSG_COPY_MEMO_FAILED	コピーに失敗しました
MSG_STRING_NOT_FOUND	文字列は見つかりませんでした。
MSG_CONFIRM_DELETE	選択したメモを削除します。よろしいですか？
MSG_DELETE_TTL	メモの削除
MSG_DELETE_FAILED	メモの削除に失敗しました
MSG_DELETE_PREV_CRYPT_MEMO_FAILED	暗号化前のメモの削除に失敗しました。手動で消してください
MSG_DEL_PREV_DECRYPT_MEMO_FAILED	復号化前のメモの削除に失敗しました。手動で消してください
MSG_NO_FILENAME	ファイル名が指定されていません
MSG_SAME_FILE	同名のファイルが存在します
MSG_RENAME_FAILED	ファイル名の変更に失敗しました: %d
MSG_CONFIRM_DEL_FOLDER	選択したフォルダを削除します。よろしいですか？
MSG_DEL_FOLDER_TTL	フォルダの削除
MSG_NO_FOLDERNAME	フォルダ名が指定されていません
MSG_SAME_FOLDER	同名のフォルダが存在します
MSG_REN_FOLDER_FAILED	フォルダ名の変更に失敗しました: %d
MSG_GET_DATE_FAILED	日付の取得に失敗しました
MSG_ROOT_NOT_ALLOWED	\\はメモフォルダとして指定できません
MSG_DATEFORMAT_DESC	%y\t：年4桁(2001)\r\n%Y\t：年下2桁(01)\r\n%M\t：月(01,02,...)\r\n%b\t：月(Jan,Feb..)\r\n%d\t：日(01,02..)\r\n%D\t：日(1,2,..)\r\n%w\t：曜日(日,月..)\r\n%W\t：曜日(Sun,Mon)\r\n%H\t：時(12H:00..11)\r\n%I\t：時(12H:01..12)\r\n%h\t：時(24H)\r\n%a\t：AM,PM\r\n%m\t：分(01,02..)\r\n%s\t：秒(01,02..)\r\n%%\t：\"%\"\r\n%n\t：改行\r\n%fn\t：ファイルパス(上位n階層,0はすべて)\r\n%Fn\t：ファイルパス(下位n階層)
MSG_VIRTUAL_FOLDER	検索結果
MSG_CONFIRM_ENCRYPT_FOLDER	フォルダのファイルに対して暗号化を行います。よろしいですか？
MSG_CONFIRM_ENCRYPT_FOLDER_TTL	暗号化
MSG_PLAIN_TEXT_DEL_FAILED	いくつかのファイルについて暗号化前のファイルの削除に失敗しました
MSG_ENCRYPT_FAILED	いくつかのファイルについて暗号化に失敗しました
MSG_CONFIRM_DECRYPT_FOLDER	フォルダのファイルに対して復号化を行います。よろしいですか？
MSG_CONFIRM_DECRYPT_FOLDER_TTL	復号化
MSG_CRYPT_FILE_DEL_FAILED	いくつかのファイルについて暗号ファイルの削除に失敗しました
MSG_DECRYPT_FAILED	いくつかのファイルについて復号化に失敗しました
MSG_CHECKBF_FAILED	暗号化ライブラリのセルフテストに失敗しました(%s)。暗号化が正常に行われない可能性があります
MSG_CHECKBF_TTL	セルフテスト失敗
MSG_SEARCH_CANCELING	キャンセルしています...
MSG_SEARCH_FAILED	検索に失敗しました(%d)
MSG_STRING_SEARCH_CANCELED	検索はキャンセルされました
MSG_GREPTAB_MAIN_TTL	クイックフィルタ
MSG_INSERTVFOLDER_FAIL	仮想フォルダの作成に失敗しました
MSG_GREP_NONAME_LABEL	検索結果
MSG_VFOLDER_NAME_TTL	仮想フォルダ名
MSG_CONFIRM_DEL_VFOLDER	選択した仮想フォルダを削除します。よろしいですか？
MSG_DEL_VFOLDER_TTL	仮想フォルダの削除
MSG_FILTERDEFDLG_TTL	フィルタの設定
MSG_FILTERDEFPROPTTL_SRC	ソース
MSG_FILTERDEFPROPTTL_FILTER	フィルタ
MSG_FILTERDEFPROPTTL_PATHTYPE	パス表示
MSG_FILTERDEFPROPTTL_FILTERTYPE_HDR	フィルタ種別
MSG_FILTERDEFPROPTTL_FILTERVAL_HDR	条件
MSG_STREAM_NAME_REGEXP	検索
MSG_STREAM_NAME_LIMIT	アイテム数
MSG_STREAM_NAME_TIMESTAMP	最終更新日
MSG_STREAM_NAME_SORT	ソート
MSG_STREAM_VALUE_LIMIT	%d件
MSG_STREAM_VALUE_TIMESTAMP_NEWER	%d日前より新しいもの
MSG_STREAM_VALUE_TIMESTAMP_OLDER	%d日前より古いもの
MSG_STREAM_VALUE_SORT_FNAME_ASC	ファイル名の辞書順
MSG_STREAM_VALUE_SORT_FNAME_DSC	ファイル名の逆辞書順
MSG_STREAM_VALUE_SORT_LASTUPD_ASC	最終更新日の古い順
MSG_STREAM_VALUE_SORT_LASTUPD_DSC	最終更新日の新しい順
MSG_STREAM_VALUE_SORT_CREATE_ASC	作成日の古い順
MSG_STREAM_VALUE_SORT_CREATE_DSC	作成日の新しい順
MSG_STREAM_VALUE_SORT_FILESIZE_ASC	ファイルサイズ昇順
MSG_STREAM_VALUE_SORT_FILESIZE_DSC	ファイルサイズ降順
MSG_DLG_INIT_FAIL	ダイアログの初期化に失敗しました
MSG_INVALID_REGEXP	正規表現の生成に失敗しました
MSG_SET_POSITIVE	0以上の数を指定してください
MSG_INVALID_FONT_SIZE	フォントサイズが不正です
MSG_DST_FOLDER_IS_SRC_SUBFOLDER	受け側のフォルダは送り側フォルダのサブフォルダです。
